reaction_id,reaction_name,subsystem
ERGSTESTH_SCe,Ergosterol ester hydrolase  yeast specific  extracellular,
ERGSTGLCT,UDP glucoseergosterol glucosyltransferase,
D_LACDm,D lactate dehydrogenase  mitochondrial,
D_LACt2,D lactate transport via proton symport,
D_LACt2m,D lactatepyruvate antiport  mitochondrial,
D_LACtm,D lactate transport  mitochondrial,
E4HGLUtm,L erythro 4 hydroxyglutamate mitochondrial transport via diffusion,
ERGSTt,Ergosterol reversible transport,
ERGSTter,Ergosterol endoplasmic reticular transport,
ERGTETROLter,Ergosta 5 6 22 24  28  tetraen 3beta ol endoplamic reticular transport,
E4HGLUtp,L erythro 4 hydroxyglutamate peroxisomal transport via diffusion,
E4Ptm,D erythrose 4 phosphate mtiochondrial transport via diffusion,
ETHAK,Ethanolamine kinase,
5AOPt2,5 Aminolevulinate transport in via proton symport,
ETHAPT_SC,Ethanolaminephosphotransferase  yeast specific,
ETHAt,Ethanolamine transport via diffusion  extracellular,
ETOHt,Ethanol reversible transport,
ETOHtm,Ethanol transport to mitochondria  diffusion,
ECOAH11p,3 hydroxyacyl CoA dehydratase  3 hydroxyhexacosyl CoA   peroxisomal,
EX_ergst_e,Ergosterol exchange,
EX_ergstest_SC_e,Ergosterol ester  yeast specific exchange,
EX_13BDglcn_e,1 3 beta D Glucan exchange,
EX_etha_e,Ethanolamine exchange,
EX_2hb_e,2 Hydroxybutyrate exchange,
EX_etoh_e,Ethanol exchange,
5AOPtm,5 Aminolevulinate mitochondrial transport,
EX_fe2_e,Fe2+ exchange,
EX_fecost_e,Fecosterol exchange,
EX_2mbac_e,2 methylbutyl acetate exchange,
EX_2mbald_e,2 methylbutyraldehyde exchange,
EX_2mbtoh_e,2 methyl 1 butanol exchange,
EX_2mppal_e,2 methylpropanal exchange,
EX_2phetoh_e,2 phenylethanol exchange,
EX_fecostest_SC_e,Fecosterol ester  yeast specific exchange,
EX_fmn_e,FMN exchange,
EX_3c3hmp_e,3 Carboxy 3 hydroxy 4 methylpentanoate exchange,
6PGLter,6 phospho D glucono 1 5 lactone endoplasmic reticular transport via diffusion,
EX_3mbald_e,3 Methylbutanal exchange,
EX_for_e,Formate exchange,
EX_fru_e,D-Fructose exchange,
EX_3mop_e,3mop exchange,
8AONNt2,8 Amino 7 oxononanoate reversible transport via proton symport,
EX_4abut_e,4-Aminobutanoate exchange,
EX_fum_e,Fumarate exchange,
EX_g3pc_e,Sn-Glycero-3-phosphocholine exchange,
EX_4abz_e,4 Aminobenzoate exchange,
AABTN,4 acetamidobutyrate deacetylase,
EX_5aop_e,5 Amino 4 oxopentanoate exchange,
EX_g3pi_e,Sn-Glycero-3-phospho-1-inositol exchange,
EX_gal_e,D-Galactose exchange,
EX_8aonn_e,8 Amino 7 oxononanoate exchange,
EX_Nbfortyr_e,N N bisformyl dityrosine exchange,
EX_abt_e,L Arabinitol exchange,
EX_ac_e,Acetate exchange,
EX_acald_e,Acetaldehyde exchange,
EX_aces_e,Acetic ester exchange,
EX_galur_e,D-Galacturonate exchange,
EX_gam6p_e,D-Glucosamine 6-phosphate exchange,
