condition,reaction_id,reaction_name,flux,subsystem,equation
starch_aerobic,NADS1,NAD synthase (nh3),0.002034235159727671,,atp_c + dnad_c + nh4_c --> amp_c + h_c + nad_c + ppi_c
starch_aerobic,NDPK1,Nucleoside-diphosphate kinase (ATP:GDP),0.48423637419638343,,atp_c + gdp_c <=> adp_c + gtp_c
starch_aerobic,NDPK2,Nucleoside-diphosphate kinase (ATP:UDP),0.45062952344960605,,atp_c + udp_c <=> adp_c + utp_c
starch_aerobic,NH4t,Ammonia reversible transport,9.999999999999941,,nh4_e <=> nh4_c
starch_aerobic,NNATr,Nicotinate-nucleotide adenylyltransferase,0.002034235159727671,,atp_c + h_c + nicrnt_c <=> dnad_c + ppi_c
starch_aerobic,NNDPR,Nicotinate-nucleotide diphosphorylase (carboxylating),0.002034235159727671,,2.0 h_c + prpp_c + quln_c --> co2_c + nicrnt_c + ppi_c
starch_aerobic,NPHS,Naphthoate synthase,8.929917294678291e-05,,sbzcoa_c --> coa_c + dhna_c
starch_aerobic,O2tex,Oxygen transport via diffusion (extracellular to periplasm),20.0,,o2_e <=> o2_p
starch_aerobic,O2tpp,O2 transport via diffusion (periplasm),20.0,,o2_p <=> o2_c
starch_aerobic,OCBT_2,Ornithine carbamoyltransferase,0.26413980964273925,,cbp_c + orn_c <=> citr__L_c + h_c + pi_c
starch_aerobic,OCTDPS,Octaprenyl pyrophosphate synthase,8.929917294678291e-05,,frdp_c + 5.0 ipdp_c --> octdp_c + 5.0 ppi_c
starch_aerobic,OMCDC,2-Oxo-4-methyl-3-carboxypentanoate decarboxylation,0.40232045686885703,,3c4mop_c + h_c --> 4mop_c + co2_c
starch_aerobic,OMPDC,Orotidine-5'-phosphate decarboxylase,0.2953971991493006,,h_c + orot5p_c --> co2_c + ump_c
starch_aerobic,ORNTA,Ornithine transaminase,-0.26413980964273925,,akg_c + orn_c <=> glu5sa_c + glu__L_c
starch_aerobic,ORPT,Orotate phosphoribosyltransferase,-0.2953971991493006,,orot5p_c + ppi_c <=> orot_c + prpp_c
starch_aerobic,OXCDC,Oxalyl-CoA decarboxylase,8.929917294678291e-05,,h_c + oxalcoa_c --> co2_c + forcoa_c
starch_aerobic,P5CRx,Pyrroline-5-carboxylate reductase(nadh),0.19740028675750435,,1pyr5c_c + 2.0 h_c + nadh_c --> nad_c + pro__L_c
starch_aerobic,PANTS,Pantothenate synthase,0.0005143632361734873,,ala_B_c + atp_c + pant__R_c --> amp_c + h_c + pnto__R_c + ppi_c
starch_aerobic,PAPPT3,"Phospho-N-acetylmuramoyl-pentapeptide-transferase (meso-2,6-diaminopimelate)",0.08929917294677991,,udcpp_c + ugmda_c --> uagmda_c + ump_c
starch_aerobic,PC,Pyruvate carboxylase,2.771095322223566,,atp_c + hco3_c + pyr_c --> adp_c + h_c + oaa_c + pi_c
starch_aerobic,PDBL_3,,0.0001991371556713192,,dhap_c + gln__L_c + ru5p__D_c --> glu__L_c + 3.0 h2o_c + h_c + pi_c + pydx5p_c
starch_aerobic,PDC,,-0.7807149863300833,,2ahethmpp_c <=> acald_c + thmpp_c
starch_aerobic,PFK,Phosphofructokinase,43.34784440131076,,atp_c + f6p_c --> adp_c + fdp_c + h_c
starch_aerobic,PGAMT,Phosphoglucosamine mutase,-0.17859834589355983,,gam1p_c <=> gam6p_c
starch_aerobic,PGCD,Phosphoglycerate dehydrogenase,1.321985402799974,,3pg_c + nad_c --> 3php_c + h_c + nadh_c
starch_aerobic,PGI,Glucose-6-phosphate isomerase,44.19560014640281,,g6p_c <=> f6p_c
starch_aerobic,PGK,Phosphoglycerate kinase,-86.23932478394919,,3pg_c + atp_c <=> 13dpg_c + adp_c
starch_aerobic,PGM,Phosphoglycerate mutase,-84.91733938114922,,2pg_c <=> 3pg_c
starch_aerobic,PHEMEt,Heme transport,-0.00024311699834761447,,pheme_e <=> pheme_c
starch_aerobic,PHETA1,Phenylalanine transaminase,-0.16544011275985182,,akg_c + phe__L_c <=> glu__L_c + phpyr_c
starch_aerobic,PIt2r,Phosphate reversible transport via symport,0.8805728934860131,,h_e + pi_e --> h_c + pi_c
